Date-Time,Latitude,Longitude,Magnitude,Epicenter
6/24/15 2:59:00 PM,27.85,85.75,4,Sindhupalchowk
6/25/15 9:07:00 PM,27.78,85.17,4.3,Nuwakot
6/25/15 11:49:00 PM,27.66,86.21,4.1,Dolakha
6/25/15 11:51:00 PM,27.94,85.49,4.2,Sindhupalchok
6/26/15 2:45:00 PM,27.58,85.39,4.1,Lalitpur
6/26/15 6:02:00 PM,27.74,86.28,4.2,Dolakha
6/28/15 10:01:00 PM,27.92,85.66,4.3,Sindhupalchok
6/29/15 5:42:00 AM,27.35,86.2,5,Ramechhap
6/29/15 11:27:00 PM,27.92,85.68,4.1,Sindhupalchowk
6/29/15 11:34:00 PM,27.93,85.64,4,Sindhupalchowk
6/30/15 3:31:00 AM,27.55,85.79,4.4,Kavre
7/1/15 3:33:00 AM,27.8,85.74,4,Sindhupalchowk
7/1/15 9:12:00 AM,27.71,86.12,4,Dolakha
7/1/15 3:34:00 PM,28.06,85.14,4,Nuwakot
7/2/15 5:26:00 AM,27.67,85.54,4.1,Kavre
7/2/15 7:41:00 AM,27.97,85.62,5,Sindhupalchowk
7/4/15 1:49:00 AM,27.73,85,4.6,Dhading
7/5/15 1:27:00 AM,27.86,85.87,4.4,Sindupalchok
7/5/15 10:07:00 AM,27.67,86.2,4.2,Dolakha
7/6/15 10:48:00 AM,27.69,86.2,4.3,Dolakha
7/6/15 9:14:00 PM,27.96,85.75,4.4,Sindhupalchok
7/8/15 9:55:00 AM,27.92,85.68,4.2,Sindhupalchok
7/8/15 10:19:00 AM,27.6,86.23,4.1,Dolakha
7/9/15 5:59:00 PM,27.89,85.73,4.4,Sindupalchok
7/11/15 2:28:00 AM,27.8,86.23,4.4,Dolakha
7/13/15 4:01:00 PM,28.06,85.34,4,Rasuwa
7/13/15 5:39:00 PM,27.63,86.09,4.2,Dolakha
7/17/15 5:09:00 AM,28.18,84.74,4,Gorkha
7/21/15 8:09:00 AM,27.86,86.39,4.3,Dolakha
7/22/15 10:14:00 PM,27.7,85.32,4.6,Kathmandu
7/25/15 12:05:00 AM,27.61,86.28,4.3,Dolakha
7/25/15 8:04:00 PM,27.66,86,4.5,Dolakha
7/26/15 9:30:00 AM,27.68,86.22,4.1,Dolakha
7/26/15 10:03:00 AM,27.85,85.75,4,Sindupalchok
7/27/15 6:23:00 PM,27.94,85.48,4.2,Nuwakot
7/28/15 9:21:00 AM,27.8,85.75,4.1,Sindupalchok
7/28/15 6:38:00 PM,27.68,86.04,4,Dolakha
7/28/15 9:23:00 PM,27.59,86.17,4.1,Dolakha
7/30/15 8:18:00 PM,27.66,86.09,4.5,Dolakha
8/1/15 7:22:00 AM,27.81,85.71,4.2,Sindupalchok
8/5/15 1:59:00 PM,27.64,86.07,4.3,Dolakha
8/5/15 5:38:00 PM,27.63,86.07,4.1,Dolakha
8/6/15 8:36:00 PM,27.86,85.76,4.1,Sindupalchok
8/7/15 11:57:00 AM,27.5,85.5,4.4,Kavre
8/8/15 6:24:00 AM,27.77,85.7,4,Sindupalchok
8/8/15 9:25:00 PM,27.69,86.26,4.1,Dolakha
8/9/15 7:55:00 AM,27.94,85.52,4.1,Sindupalchok
8/10/15 4:15:00 AM,28.14,84.72,4.9,Gorkha
8/11/15 10:42:00 AM,27.7,85.29,4.3,Kathmandu
8/13/15 1:49:00 AM,27.72,85.2,4,Kathmandu
8/14/15 6:47:00 PM,27.59,85.97,4.3,Dolakha
8/15/15 10:10:00 AM,27.87,86.08,4.1,Dolakha
8/15/15 11:56:00 PM,27.71,86.05,4.8,Dolakha
8/18/15 4:08:00 AM,27.93,86.14,4.8,Dolakha
8/20/15 11:47:00 AM,28,85.29,4.6,Rasuwa
8/21/15 12:21:00 PM,27.96,85.48,4,Nuwakot
8/23/15 2:47:00 PM,27.87,86.17,5.1,Dolakha
8/25/15 3:08:00 PM,27.68,86.22,4,Dolakha
8/27/15 12:51:00 AM,27.85,85.74,4.2,Sindhupalchowk
8/27/15 6:07:00 AM,28.12,84.89,4.1,Gorkha
8/30/15 3:09:00 AM,27.92,84.94,4.3,Dhading
8/30/15 8:26:00 AM,27.66,86.23,4.1,Dolakha
8/30/15 7:02:00 PM,27.72,85.75,5,Sindhupalchowk
8/31/15 11:33:00 PM,27.92,85.69,4.2,Sindhupalchowk
9/2/15 4:51:00 AM,27.64,86.19,4.4,Dolakha
9/3/15 5:10:00 AM,27.75,86.01,4.3,Sindhupalchowk
9/9/15 6:23:00 PM,27.82,86.24,4,Dolakha
9/16/15 8:37:00 PM,27.6,86.19,4.2,Dolakha
9/20/15 4:05:00 AM,27.76,86.37,4,Dolakha
9/22/15 12:17:00 PM,27.74,85.07,4.5,Dhading
9/29/15 4:39:00 PM,27.77,85.87,4.6,Sindhupalchowk
10/5/15 1:18:00 PM,27.71,86.15,4.8,Dolakha
10/5/15 1:21:00 PM,27.71,86.1,4.2,Dolakha
10/6/15 5:47:00 PM,27.69,86.09,4.2,Dolakha
10/7/15 5:15:00 AM,27.68,86.08,4.2,Dolakha
10/8/15 1:00:00 PM,27.57,85.31,4,Lalitpur
10/8/15 9:58:00 PM,27.96,85.54,4.1,Sindupalchowk
10/16/15 2:28:00 PM,27.71,86.16,4.2,Dolakha
10/17/15 11:46:00 PM,27.8,86.3,4.2,Dolakha
10/31/15 9:28:00 AM,28.03,85.23,4.3,Rasuwa
11/17/15 6:55:00 PM,28.02,85.28,4.3,Rasuwa
11/19/15 10:00:00 AM,27.89,85.75,5.3,Sindupalchok
11/19/15 5:44:00 PM,27.77,85.88,4,Sindhupalchok
11/24/15 5:00:00 PM,27.87,85.29,4,Nuwakot
11/24/15 6:09:00 PM,28.15,84.81,4.4,Gorkha
11/25/15 12:42:00 AM,27.87,85.77,4.1,Sindhupalchowk
